epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,1026.48,0.7696,0.45019,0.94913,0.9714,0.9383,0.95984,0.71001,0.69525,0.35912,1.00543,0.00089141,0.00089141,0.00089141
40,1052.54,0.77855,0.45442,0.96272,0.97087,0.94648,0.95944,0.70697,0.69519,0.35814,1.00813,0.000877263,0.000877263,0.000877263
41,1079.25,0.76169,0.44344,0.94763,0.98316,0.93732,0.95896,0.71259,0.6812,0.35084,1.00516,0.000863116,0.000863116,0.000863116
42,1105.96,0.77199,0.44263,0.95398,0.97926,0.94473,0.96277,0.70767,0.69556,0.33634,1.01873,0.000848969,0.000848969,0.000848969
43,1132.48,0.7533,0.43817,0.94884,0.97083,0.93727,0.95701,0.7166,0.68484,0.32861,1.00694,0.000834822,0.000834822,0.000834822
44,1158.72,0.75984,0.43482,0.9483,0.97562,0.93975,0.96051,0.7183,0.68326,0.35357,1.0039,0.000820675,0.000820675,0.000820675
45,1184.95,0.76383,0.43401,0.9508,0.96266,0.94265,0.9578,0.71407,0.68303,0.34315,1.00974,0.000806528,0.000806528,0.000806528
46,1211.22,0.76122,0.4398,0.94917,0.96391,0.93586,0.95681,0.71054,0.67904,0.35925,1.00535,0.00079238,0.00079238,0.00079238
47,1238.23,0.75868,0.42954,0.9439,0.9737,0.94316,0.95677,0.72295,0.68249,0.33595,1.01092,0.000778233,0.000778233,0.000778233
48,1264.37,0.74356,0.42666,0.94244,0.96463,0.93343,0.95309,0.71052,0.69069,0.34047,1.00976,0.000764086,0.000764086,0.000764086
49,1290.7,0.75219,0.43318,0.94498,0.96782,0.94564,0.95751,0.72032,0.68036,0.335,1.00401,0.000749939,0.000749939,0.000749939
50,1317.21,0.73591,0.42216,0.94098,0.97332,0.94979,0.9629,0.71487,0.68826,0.33632,1.00744,0.000735792,0.000735792,0.000735792
51,1343.57,0.74431,0.42486,0.94072,0.9701,0.94321,0.95489,0.71143,0.67919,0.32893,1.00333,0.000721645,0.000721645,0.000721645
52,1369.95,0.7457,0.42464,0.94042,0.97133,0.94648,0.95845,0.70954,0.68279,0.3392,1.01249,0.000707498,0.000707498,0.000707498
53,1396.55,0.74089,0.42193,0.94115,0.97936,0.93265,0.954,0.72015,0.66583,0.33576,1.00051,0.000693351,0.000693351,0.000693351
